feature,n,missing_rate,mean_y0,mean_y1,std_y0,std_y1,cohens_d,pearson_r,auc_rank
low_gpa_term_rate_3_0,956,0.0,0.17911279196993482,0.08795307419085921,0.20129752912042942,0.13823691304858843,-0.646660609386431,-0.12068440757835051,0.37477896696137736
low_gpa_term_rate_2_5,956,0.0,0.06307010449867591,0.02311421537805903,0.12546723561319967,0.062447630505734805,-0.6077857043540273,-0.11352574989827575,0.41400651465798044
dif_btw_max_and_min_term_gpa,956,0.0,1.2194285714285715,0.8872855591748099,0.9561040518600438,0.5651094679428289,-0.5691632908281798,-0.10639603276787608,0.39823173569101905
graduating_cgpa,943,0.013598326359832602,3.4527272727272726,3.572519001085776,0.30369442377215794,0.2687643947964563,0.44434238845771734,0.06699331518779461,0.6117609317935051
cgpa_gap,943,0.013598326359832602,-0.05636363636363637,0.015884907709011947,0.22468062951973689,0.17166544751289134,0.4175591986439755,0.06297174910407564,0.6221991906030994
cgpa_at_etm_to_any_campus,955,0.0010460251046024993,3.484705882352941,3.5566340933767644,0.29433268431361553,0.27159785987476437,0.2640373301082359,0.04891772219203299,0.574663089991697
highest_cgpa_during_credit_window,956,0.0,3.5065714285714287,3.5736482084690553,0.28632501952627665,0.26244490523177055,0.25472208260483914,0.04783325049010405,0.5755700325732899
peak_minus_etm,955,0.0010460251046024993,0.025294117647058825,0.017014115092290984,0.06190096166666934,0.04816061010582195,-0.17001624969944068,-0.031520689930872973,0.4870345532349748
gpa_trend_slope,956,0.0,0.0005414463283384663,0.008307388433568437,0.042134196912092886,0.05023380996907551,0.15541920658271563,0.02920653800394421,0.5561036140840702
max_term_gpa,956,0.0,3.951142857142857,3.9331270358306187,0.08673053022984227,0.12974889685720134,-0.14024073602026874,-0.02635627265989208,0.4885838374437723
std_term_gpa,956,0.0,0.3848085473072775,0.3643580058316957,0.22239160656514134,0.22727199969459824,-0.09005087358527425,-0.01692724988973825,0.47265394757251433
min_term_gpa,956,0.0,2.734857142857143,2.7995982627578715,0.7681083388221138,0.7569507991572536,0.08548360884571275,0.01606894910130504,0.5194974406700791
first_two_regular_mean_gpa,956,0.0,3.5425714285714283,3.5156786102062973,0.24125094156649982,0.3186518832256978,-0.08504489017366706,-0.01598650122891722,0.48358926632542265
last_term_gpa,956,0.0,3.6554285714285717,3.6190662323561344,0.3071820963795489,0.5238764343188131,-0.07023626829660205,-0.01320335421833967,0.5377229719249264
summer_term_ratio,956,0.0,0.15060859775145488,0.1443908220397969,0.08312351310420944,0.09482026465289888,-0.06584652756605804,-0.012378280127743169,0.4930044982162246
median_term_gpa,956,0.0,3.5732857142857144,3.5584907709011944,0.2241649302776564,0.31326428655362,-0.04764440151809451,-0.008956847055272164,0.5068559019699085
first_term_gpa,956,0.0,3.4845714285714284,3.496948968512487,0.3216075692073005,0.4059298592784548,0.030696147412790527,0.0057708175511445685,0.5312393361253296
mean_term_gpa,956,0.0,3.505498730634445,3.4980591726414922,0.2368176601556381,0.31927747790344885,-0.023490288116696557,-0.004416160128906419,0.5079106561191252
